thermax,थरमैक्स,थर्मैक्स
gadhoonga,गाड़ूँगा,गढ़ोंगा
faadi,फाड़ी,फाड़ी
gammat,गम्मत,गम्मत
tuberculosis,ट्यूबरक्यूलोसिस,ट्यूबरक्सोफिक
nagarjuna,नागार्जुन,नागरजूना
raajneechi,राजनीचि,राजीनीची
medizensar,मेडिजेन्सर,मेडिजेंसर
laphphaajee,लफ्फाजी,लाफ्फाजी
commerce,कॉमर्स,कॉमरेस
maathaloo,माथलू,माथलो
chatagaon,चटगांव,चटागांव
hilig,हीलिग,हिलिग
isnpector,इस्न्पेक्टोर,इस्नैक्टर
testing,टेस्टिंग,टिस्टिंग
naushad,नौशाद,नौश्द
falluja,फ़ल्लूजा,फल्लूजा
pik,पिक,पीक
jiwan,जीवन,जीवां
katal,कताल,कटल
dablyooeeef,डब्ल्यूईएफ,दबलूफ़ियो
besil,बेसिल,बेसिल
slidon,स्लाइडों,स्लिडॉन
saindan,सैंदान,सैंदन
jeremy,जेरेमी,जेर्मी
gaanv,गॉंव,गाँव
todenge,तोड़ेंगे,तोडेंगे
udaan,उड़ान,उदान
saptkraanti,सप्तक्रांति,सप्तक्रांती
miranda,मिरांडा,मिरंदा
vyapak,व्यापक,व्यापक
maddy,मैडी,मद्दी
sabhasadon,सभासदों,सभासादों
nauvahan,नौवहन,नौवहान
atmaen,आत्माएं,अटमैन
rosa,रोज़ा,रोसा
damaae,दमाए,दमाए
midwest,मिडवेस्ट,मिडवेस्ट
trelarah,ट्रेलरः,त्रेलरह
marlborough,मालबर,मार्लबोहोगर
waco,वाको,वॉको
vimarshon,विमर्शों,विमर्शों
khan,खान,ख़
difarard,डिफरर्ड,डिफार्ड
sarsaa,सरसा,सरसा
hester,हेस्टर,एसटर
uttar,उत्तर,उत्तर
kasera,कसेरा,कसेरा
kuraaane,कुरआने,कुराने
dayitvon,दायित्वों,दायितों
chayaniton,चयनितों,चयनितों
morales,मोराल्स,मोरलेस
heros,हीरोज,हरोस
premamoolak,प्रेममूलक,प्रेमामूलक
moran,मोरन,मोरन
zydus,ज़ाइडस,ज़्यूड
nelson,नेल्सन,नेलसन
amarpal,अमरपाल,अमरपाल
phatne,फटने,फतने
tinka,टिंका,टिक्का
gaayikaao,गायिकाओ,गायिकाओ
pakayen,पकाएं,पकाएँ
bhrashtachariyon,भ्रष्टाचारीयों,भ्रष्टाचारियों
chalit,चालित,चलित
affle,एफल,एफल
mod,मॉड,ओएओडी
rajnitikaaron,राजनीतिकारों,राजनितिकारों
arthon,अर्थों,अर्थों
gaaligalauj,गालीगलौज,गालिगाजलू
anyonyashritata,अन्योन्याश्रितता,अन्योन्यार्षित्य
udaya,उडाया,उदया
cutlery,कटलरी,क्ट्लेरी
pratibandhah,प्रतिबन्धः,प्रतिबन्धना
neelaabh,नीलाभ,नीलाभ
bilae,बिलाई,बिलाए
khullamkhulla,खुल्लमखुल्ला,खुल्लमखुला
swanson,स्वानसन,स्वांसन
anvaahaarya,अन्वाहार्य,अनवार्य
rewari,रेवाड़ी,रेवारी
sahkalakar,सहकलाकार,सहकलाकर
championship,चैंपियनशिप,चाम्पिनिश्ध
bhadkaayaa,भड़काया,भड़काया
namdhari,नामधारी,नामधारी
alba,अल्बा,अलबा
watanukoollan,वातानुकूलन,वातनुकोलन
khaatadhaarak,खाताधारक,खातधारक
texas,टेक्सस,टेक्सस
special,स्पेशल,स्पेशल
harvansh,हरवंश,हरवंश
dinu,दीनु,दिनू
shaniwar,शनिवार,शनिवार
de,डीई,दे
dabi,डाबी,बाबी
nahinkarvaaee,नहींकरवाई,नहिंकरवा
maarvaad,मारवाड़,मारवाद
peediyon,पीड़ियों,पीडियों
brigton,ब्रिगटन,ब्रिगटन
mnaey,मनाए,एमएनए
ligar,लिगर,लिगर
dilaega,दिलाएगा,दिलागा
aadhin,आधीन,आधीन
parwa,परवा,परवा
hempstead,हेम्प्सटेड,हेम्प्स्टेड
mamooli,मामूली,ममूली
pradeshikaa,प्रदेशिका,प्रदेशिका
verification,वैरीफ़िकेशन,वेरिफिकेशन
fefada,फेफड़ा,फेफाडा
wisangatiyaa,विसंगतिया,विसंगताया
kachchhe,कच्छे,कछचे
ghost,घोस्ट,घोस्ट
pipli,पिपली,पिपली
lovasa,लवासा,लोवासा
helper,हेल्पर,हेलपर
doobnewaale,डूबनेवाले,दूबनेवाले
bakhshane,बख्शने,बखशाने
indriyonke,इन्द्रियोंके,इंद्रियोंके
barhad,बरहद,बरहाद
risaalee,रिसाली,रिसाली
kaksheevati,काक्षीवती,कक्षीवाती
vishvarakt,विश्वरक्त,विश्वरक्त
lodi,लोदी,लोडी
peachtree,पीचट्री,पीच्ट्री
ghumakkdon,घुमक्कड़ों,घुमक्कडों
ojha,ओझा,ओझा
ilaaj,इलाज़,इलाज
arunai,अरुणाई,अरूनाई
ayodhyeanath,अयोध्यानाथ,आयोध्याने
bhautikwadiyon,भौतिकवादियों,भौत्कीदावारियों
roket,रॊकेट,रोकेट
nurochemistry,न्यूरोकेमिस्ट्री,न्यूकोहेस्मिरी
coldvel,काल्डवेल,कॉल्डवेल
aawaazen,आवाज़ें,आवाजें
mool,मूल,मूल
multiplexon,मल्टिप्लेक्सों,मल्टीफ्लेक्सपोन
tyoihar,त्यौहार,त्योहैर
rotation,रोटेशन,रोटेशन
belacha,बेलचा,बेलाचा
sahakalaakar,सहकलाकार,सहकलाकर
jadit,जड़ित,ज़िद
nagaaraa,नगाड़ा,नगरा
barpaya,बरपाया,बरपाया
doongarpur,डूंगरपुर,दूंगपरूप
land,लैंड,लैण
uchchhrunkhalataa,उच्छृंखलता,उच्च्रमुखताला
failaiya,फैलाइए,फैलैय्या
suchi,सूची,सूची
noon,नून,नून
rp,आरपी,आरपी
shield,सील्ड,शील्द
palanpur,पालनपुर,पालानपुर
electrosteel,इलेक्ट्रोस्टील,इलेक्ट्रोस्ट
obscura,ऑब्स्क्योरा,ओबसकूरा
